carId;model;version;price;fuel;year;kms;power;doors;change;color
1783;RS6;AUDI RS6 Avant 4.0 TFSI quattro tiptronic 5p.;59890;Gasolina;2014;89990;560;5;Automatico;Azul
1784;Fusion;FORD Fusion 1.4 16v Ambiente 5p.;3350;Gasolina;2009;128200;80;5;Manual;Azul
1785;Rav4;TOYOTA Rav4 2.5l hybrid 4WD Advance 5p.;24990;Hibrido;2018;43018;197;5;Automatico;Gris / Plata
1786;Lancer;MITSUBISHI Lancer Sportback 1.8 MIVEC Motion 5p.;6000;Gasolina;2010;151000;143;5;Manual;Blanco
1787;CLUBMAN;MINI CLUBMAN COOPER 5p.;16600;Gasolina;2016;45769;136;5;Manual;Blanco (850 Pepper White)
1788;i40;HYUNDAI i40 1.7 CRDi 115cv BlueDrive Tecno 4p.;10900;Diesel;2016;129000;115;4;Manual;Blanco
1789;Laguna;RENAULT Laguna RXE 1.6 16V 5p.;1200;Gasolina;1999;200000;110;5;Manual;Verde
1790;X3;BMW X3 sDrive18d 5p.;15000;Diesel;2013;90000;143;5;Manual;Gris / Plata
1791;Astra;OPEL Astra 1.7 CDTi Elegance 100 CV 6V 5p.;3999;Diesel;2005;102000;100;5;Manual;Gris / Plata
1792;C30;VOLVO C30 1.6 DRIVe Kinetic 3p.;8490;Diesel;2011;147990;115;3;Manual;Gris / Plata
1793;Manta;OPEL Manta MANTA 2.0 GSI 2p.;8500;Gasolina;1984;202000;110;2;Manual;Naranja
1794;T-Roc;VOLKSWAGEN TRoc Cabrio 1.5 TSI 110kW 150cv DSG 7 vel 2p.;38500;Gasolina;2020;8900;150;2;Automatico;Blanco (BLANCO PURO)
1795;C4;CITROEN C4 1.6 eHDi 115cv Exclusive 5p.;9500;Diesel;2014;90000;114;5;Manual;Azul
1796;Zoe;RENAULT Zoe Zen 5p.;8990;Electrico;2015;72494;88;5;Automatico;Blanco
1797;A4;AUDI A4 2.0 TDI 110kW150CV S tronic 4p.;19850;Diesel;2017;94000;150;4;Automatico;Gris / Plata (met Pintura metalizada)
1798;Sandero;DACIA Sandero Stepway Comfort TCe 67kW 90CV 5p.;13525;Gasolina;2021;10;91;5;Manual;Rojo
1799;Clase A;MERCEDES-BENZ Clase A A 180 d 5p.;29900;Diesel;2019;4400;116;5;Automatico;Blanco
1800;Ducato;FIAT Ducato Furgon Maxi 35 L4 H3 2.3 1FA 132 kW;32960;Diesel;2020;5;177;4;Automatico;Blanco
1801;A4;AUDI A4 2.0 TDI 150cv multitronic 4p.;16800;Diesel;2014;87045;150;4;Automatico;Negro Phantom (efecto perla)
1802;Focus;FORD Focus 1.0 Ecoboost ASS 125 Titanium Sportb. 5p.;7500;Gasolina;2012;71800;125;5;Manual;Rojo
1803;Logan;DACIA Logan Ambiance dCi 90 4p.;5490;Diesel;2015;122739;90;4;Manual;Blanco
1804;Renegade;JEEP Renegade 1.6 ETORQ 81kW Sport FWD E6 5p.;16990;Gasolina;2018;43700;110;5;Manual;Negro
1805;Clase E;MERCEDES-BENZ Clase E Cabrio E 220 CDI BE Avantgarde 2p.;18490;Diesel;2012;140000;170;2;Automatico;Azul
1806;C3 Pluriel;CITROEN C3 Pluriel 1.4i Exclusive 2p.;2500;Gasolina;2005;85000;75;2;Manual;Naranja
1807;Serie 2;BMW Serie 2 M2 2p.;52900;Gasolina;2018;32015;370;2;Automatico;475 Black Sapphire (metalizado)
1808;Leon;SEAT Leon ST 1.6 TDI 110cv StSp Style 5p.;11990;Diesel;2016;76747;110;5;Manual;Azul
1809;Tiguan;VOLKSWAGEN Tiguan 2.0 TSI 4M 170cv DSG Motion 5p.;9500;Gasolina;2010;180000;170;5;Automatico;Gris / Plata
1810;Megane;RENAULT Megane Sp. Tou. Bose Energy dCi 130 SS Euro 6 5p.;10490;Diesel;2015;99990;130;5;Manual;Blanco
1811;C-Max;FORD CMax 1.6 TDCi 115 Trend 5p.;12000;Diesel;2014;135000;115;5;Manual;Blanco
1812;Fabia;SKODA Fabia 1.2 60cv Active 5p.;4490;Gasolina;2013;127000;60;5;Manual;Rojo
1813;Serie 3;BMW Serie 3 320d EfficientDynamics 4p.;16150;Diesel;2016;121995;163;4;Manual;Negro
1814;X1;BMW X1 sDrive16d 5p.;19750;Diesel;2016;75500;116;5;Manual;Blanco
1815;A5;AUDI A5 40 TDI 140kW 190CV S tronic Sportback 5p.;35900;Diesel;2019;26000;190;5;Automatico;Negro
1816;Partner;PEUGEOT Partner Tepee Outdoor 1.6 HDi 115cv FAP Euro 5 5p.;10990;Diesel;2013;125000;115;5;Manual;Azul
1817;C5 Aircross Hybrid;CITROEN C5 Aircross Hybrid 225 eEAT8 Shine 5p.;36995;Hibrido enchufable;2020;10000;225;5;Automatico;Blanco (BLANCO NACARADO)
1818;Tiguan;VOLKSWAGEN Tiguan Advance 2.0 TDI 110kW 150CV 4Motion 5p.;26500;Diesel;2017;146000;150;5;Automatico;Blanco
1819;fortwo;SMART fortwo 60kW81CV EQ coupe 3p.;31110;Electrico;2020;0;82;3;Automatico;Gris / Plata
1820;Polo;VOLKSWAGEN Polo 1.6 Advance 105cv 3p.;3200;Gasolina;2006;160000;105;3;Manual;Negro
1821;5008;PEUGEOT 5008 Allure 2.0 BlueHDi 150 FAP 5p.;10900;Diesel;2015;154000;150;5;Manual;Azul
1822;Alhambra;SEAT Alhambra 2.0 TDI 110kW Eco SS Style GO 5p.;35000;Diesel;2020;0;150;5;Manual;Negro
1823;Berlingo;CITROEN Berlingo Talla M BlueHDi 130 SS 6v SHINE 5p.;25000;Diesel;2020;1;130;5;Manual;Marron
